도메인,카테고리,대화셋일련번호,화자,문장번호,고객의도,상담사의도,QA,고객질문(요청),상담사질문(요청),고객답변,상담사답변,개체명 ,용어사전,지식베이스
다산콜센터,대중교통 안내,B2041,고객,1,버스노선,,Q,대치동에서 내곡동으로 가는 버스를 알고싶습니다,,,11번 버스를 타면 갈수있습니다.,"대치동, 내곡동, 버스",대치동/동네/ 내곡동/동네/ 버스/교통수단,"내곡동,교통수단"
다산콜센터,대중교통 안내,B2041,고객,3,버스시간,,Q,내곡동까지 얼마나 걸립니까?,,,30분 정도 걸립니다.,내곡동,내곡동/동네,"내곡동,동네"
다산콜센터,대중교통 안내,B2041,고객,5,버스요금,,Q,가는데 버스비는 얼마입니까?,,,1350원입니다.,버스비,버스비/돈,"버스비,돈"
다산콜센터,대중교통 안내,B2042,고객,5,버스요금,,Q,버스요금은 얼마입니까?,,,1600원입니다.,버스요금,버스요금/돈,"버스요금,돈"
다산콜센터,대중교통 안내,B2042,고객,7,버스시간,,Q,청계천까지 얼마나 걸립니까?,,,50분입니다.,청계천,청계천/지명,"청계천,지명"
다산콜센터,대중교통 안내,B2043,고객,7,버스시간,,Q,시간은 얼마나 걸립니까?,,,2시간정도 걸립니다.,,,
다산콜센터,대중교통 안내,B2043,고객,9,버스시간,,Q,막차는 언제입니까?,,,오후 11시입니다.,막차,,막차
다산콜센터,대중교통 안내,B2044,고객,7,버스시간,,Q,시간은 얼마나 걸립니까?,,,1시간 20분정도 걸립니다.,시간,,시간
다산콜센터,대중교통 안내,B2044,고객,9,버스시간,,Q,첫차 시간은 언제입니까?,,,오전 6시입니다.,첫차,,첫차
다산콜센터,대중교통 안내,B2045,고객,7,버스시간,,Q,시간은 얼마나 걸립니까?,,,2시간10분정도 걸립니다.,시간,,시간
다산콜센터,대중교통 안내,B2045,고객,9,버스시간,,Q,첫차는 언제입니까?,,,오전 5시반입니다.,첫차,,첫차
다산콜센터,대중교통 안내,B2046,고객,7,버스시간,,Q,시간은 얼마나 걸립니까?,,,1시간15분정도 걸립니다.,시간,,시간
다산콜센터,대중교통 안내,B2046,고객,9,버스시간,,Q,막차는 언제입니까?,,,오후 11시반입니다.,막차,,막차
다산콜센터,대중교통 안내,B2046,고객,11,버스요금,,Q,차비는 얼마입니까?,,,2100원 입니다.,차비,차비/돈,"차비,돈"
다산콜센터,대중교통 안내,B2047,고객,7,버스시간,,Q,시간은 얼마나 걸립니까?,,,1시간 40분정도 걸립니다.,시간,,시간
다산콜센터,대중교통 안내,B2047,고객,9,버스시간,,Q,첫차는 언제입니까?,,,오전 5시 20분입니다.,첫차,,첫차
다산콜센터,대중교통 안내,B2047,고객,11,버스요금,,Q,차비는 얼마입니까?,,,2200원 입니다.,차비,차비/돈,"차비,돈"
다산콜센터,대중교통 안내,B2048,고객,7,버스시간,,Q,시간은 얼마나 걸립니까?,,,1시간25분정도 걸립니다.,시간,,시간
다산콜센터,대중교통 안내,B2048,고객,9,버스시간,,Q,막차는 언제입니까?,,,오후 9시반입니다.,막차,,막차
다산콜센터,대중교통 안내,B2048,고객,11,버스요금,,Q,차비는 얼마입니까?,,,2400원 입니다.,차비,차비/돈,"차비,돈"
다산콜센터,대중교통 안내,B2049,고객,7,버스시간,,Q,시간은 얼마나 걸립니까?,,,1시간45분정도 걸립니다.,시간,,시간
다산콜센터,대중교통 안내,B2049,고객,9,버스시간,,Q,돌아가는 막차는 언제입니까?,,,오후 11시 10분입니다.,막차,,막차
다산콜센터,대중교통 안내,B2049,고객,11,버스요금,,Q,차비는 얼마입니까?,,,2600원 입니다.,차비,차비/돈,"차비,돈"
다산콜센터,대중교통 안내,B2050,고객,7,버스시간,,Q,시간은 얼마나 걸립니까?,,,45분정도 걸립니다.,시간,,시간
다산콜센터,대중교통 안내,B2050,고객,9,버스시간,,Q,돌아갈때 막차는 언제입니까?,,,오전 12시반입니다.,막차,,막차
다산콜센터,대중교통 안내,B2050,고객,11,버스요금,,Q,차비는 얼마입니까?,,,1100원 입니다.,차비,차비/돈,"차비,돈"
다산콜센터,대중교통 안내,B2051,고객,7,버스시간,,Q,시간은 얼마나 걸립니까?,,,55분정도 걸립니다.,시간,,시간
다산콜센터,대중교통 안내,B2051,고객,9,버스시간,,Q,첫차는 언제입니까?,,,오전 5시 50분입니다.,첫차,,첫차
다산콜센터,대중교통 안내,B2051,고객,11,버스요금,,Q,차비는 얼마입니까?,,,"2,100원 입니다.",차비,차비/돈,"차비,돈"
다산콜센터,대중교통 안내,B2052,고객,7,버스시간,,Q,시간은 얼마나 걸립니까?,,,15분정도 걸립니다.,시간,,시간
다산콜센터,대중교통 안내,B2052,고객,9,버스시간,,Q,첫차는 언제입니까?,,,오전 4시 50분입니다.,첫차,,첫차
다산콜센터,대중교통 안내,B2052,고객,11,버스요금,,Q,차비는 얼마입니까?,,,"1,100원 입니다.",차비,차비/돈,"차비,돈"
다산콜센터,대중교통 안내,B2053,고객,7,버스시간,,Q,시간은 얼마나 걸립니까?,,,1시간10분정도 걸립니다.,시간,,시간
다산콜센터,대중교통 안내,B2053,고객,9,버스시간,,Q,막차는 언제입니까?,,,오후 11시 15분입니다.,막차,,막차
다산콜센터,대중교통 안내,B2053,고객,11,버스요금,,Q,차비는 얼마입니까?,,,"1,200원 입니다.",차비,차비/돈,"차비,돈"
다산콜센터,대중교통 안내,B2054,고객,7,버스시간,,Q,시간은 얼마나 걸립니까?,,,2시간15분정도 걸립니다.,시간,,시간
다산콜센터,대중교통 안내,B2054,고객,9,버스시간,,Q,막차는 언제입니까?,,,오후 10시 20분입니다.,막차,,막차
다산콜센터,대중교통 안내,B2054,고객,11,버스요금,,Q,차비는 얼마입니까?,,,"2,400원 입니다.",차비,차비/돈,"차비,돈"
다산콜센터,대중교통 안내,B2055,고객,7,버스시간,,Q,시간은 얼마나 걸립니까?,,,55분정도 걸립니다.,시간,,시간
다산콜센터,대중교통 안내,B2055,고객,9,버스시간,,Q,막차는 언제입니까?,,,오후 12시 10분입니다.,막차,,막차
다산콜센터,대중교통 안내,B2055,고객,11,버스요금,,Q,차비는 얼마입니까?,,,"1,300원 입니다.",차비,차비/돈,"차비,돈"
다산콜센터,대중교통 안내,B2056,고객,7,버스시간,,Q,시간은 얼마나 걸릴까요?,,,1시간 30분정도 걸립니다.,시간,,시간
다산콜센터,대중교통 안내,B2056,고객,9,버스시간,,Q,늦을것 같아서 그런데 막차 시간도 알려주세요,,,오후 11시입니다.,막차,,막차
다산콜센터,대중교통 안내,B2056,고객,11,버스요금,,Q,버스비는 얼마예요?,,,"1,350원 입니다.",차비,차비/돈,"차비,돈"
다산콜센터,대중교통 안내,B2057,고객,7,버스시간,,Q,시간은 얼마나 걸립니까?,,,2시간 정도 걸립니다.,시간,,시간
다산콜센터,대중교통 안내,B2057,고객,9,버스시간,,Q,막차는 언제입니까?,,,오후 10시 50분 입니다.,막차,,막차
다산콜센터,대중교통 안내,B2057,고객,11,버스요금,,Q,차비는 얼마입니까?,,,"1,400원 입니다.",차비,차비/돈,"차비,돈"
다산콜센터,대중교통 안내,B2058,고객,7,버스시간,,Q,시간은 얼마나 걸립니까?,,,2시간 40분정도 걸립니다.,시간,,시간
다산콜센터,대중교통 안내,B2058,고객,9,버스시간,,Q,막차는 언제입니까?,,,오후 10시 40분 입니다.,막차,,막차
다산콜센터,대중교통 안내,B2058,고객,11,버스요금,,Q,차비는 얼마입니까?,,,"1,450원 입니다.",차비,차비/돈,"차비,돈"
다산콜센터,대중교통 안내,B2059,고객,7,버스시간,,Q,시간은 얼마나 걸립니까?,,,1시간 20분정도 걸립니다.,시간,,시간
다산콜센터,대중교통 안내,B2059,고객,9,버스시간,,Q,막차는 언제입니까?,,,오후 11시 45분입니다.,막차,,막차
다산콜센터,대중교통 안내,B2059,고객,11,버스요금,,Q,차비는 얼마입니까?,,,"1,500원 입니다.",차비,차비/돈,"차비,돈"
다산콜센터,대중교통 안내,B2060,고객,7,버스시간,,Q,시간은 얼마나 걸립니까?,,,30분정도 걸립니다.,시간,,시간
다산콜센터,대중교통 안내,B2060,고객,9,버스시간,,Q,막차는 언제입니까?,,,오전 12시 15분입니다.,막차,,막차
다산콜센터,대중교통 안내,B2060,고객,11,버스요금,,Q,차비는 얼마입니까?,,,"1,150원 입니다.",차비,차비/돈,"차비,돈"
다산콜센터,대중교통 안내,B2061,고객,7,버스시간,,Q,시간은 얼마나 걸립니까?,,,1시간 40분정도 걸립니다.,시간,,시간
다산콜센터,대중교통 안내,B2061,고객,9,버스시간,,Q,막차는 언제입니까?,,,오후 11시 10분입니다.,막차,,막차
다산콜센터,대중교통 안내,B2061,고객,11,버스요금,,Q,차비는 얼마입니까?,,,"1,350원 입니다.",차비,차비/돈,"차비,돈"
다산콜센터,대중교통 안내,B2062,고객,7,버스시간,,Q,시간은 얼마나 걸립니까?,,,40분정도 걸립니다.,시간,,시간
다산콜센터,대중교통 안내,B2062,고객,9,버스시간,,Q,막차는 언제입니까?,,,오후 11시 50분입니다.,막차,,막차
다산콜센터,대중교통 안내,B2062,고객,11,버스요금,,Q,차비는 얼마입니까?,,,"2,000원 입니다.",차비,차비/돈,"차비,돈"
다산콜센터,대중교통 안내,B2063,고객,7,버스시간,,Q,시간은 얼마나 걸립니까?,,,20분정도 걸립니다.,시간,,시간
다산콜센터,대중교통 안내,B2063,고객,9,버스시간,,Q,막차는 언제입니까?,,,오전 12시 10분입니다.,막차,,막차
다산콜센터,대중교통 안내,B2063,고객,11,버스요금,,Q,차비는 얼마입니까?,,,"1,200원 입니다.",차비,차비/돈,"차비,돈"
다산콜센터,대중교통 안내,B2064,고객,7,버스시간,,Q,시간은 얼마나 걸립니까?,,,50분정도 걸립니다.,시간,,시간
다산콜센터,대중교통 안내,B2064,고객,9,버스시간,,Q,막차는 언제입니까?,,,오후 11시 30분입니다.,막차,,막차
다산콜센터,대중교통 안내,B2064,고객,11,버스요금,,Q,차비는 얼마입니까?,,,"1,800원 입니다.",차비,차비/돈,"차비,돈"
다산콜센터,대중교통 안내,B2065,고객,7,버스시간,,Q,시간은 얼마나 걸립니까?,,,1시간 20분정도 걸립니다.,시간,,시간
다산콜센터,대중교통 안내,B2065,고객,9,버스시간,,Q,막차는 언제입니까?,,,오후 11시 입니다.,막차,,막차
다산콜센터,대중교통 안내,B2065,고객,11,버스요금,,Q,차비는 얼마입니까?,,,"1,750원 입니다.",차비,차비/돈,"차비,돈"
다산콜센터,대중교통 안내,B2066,고객,7,버스시간,,Q,시간은 얼마나 걸립니까?,,,30분정도 걸립니다.,시간,,시간
다산콜센터,대중교통 안내,B2066,고객,9,버스시간,,Q,첫차는 언제입니까?,,,오전 5시 50분입니다.,첫차,,첫차
다산콜센터,대중교통 안내,B2066,고객,11,버스요금,,Q,차비는 얼마입니까?,,,"1,600원 입니다.",차비,차비/돈,"차비,돈"
다산콜센터,대중교통 안내,B2067,고객,7,버스시간,,Q,시간은 얼마나 걸립니까?,,,1시간 10분정도 걸립니다.,시간,,시간
다산콜센터,대중교통 안내,B2067,고객,9,버스시간,,Q,첫차는 언제입니까?,,,오전 6시 10분입니다.,첫차,,첫차
다산콜센터,대중교통 안내,B2067,고객,11,버스요금,,Q,차비는 얼마입니까?,,,"1,550원 입니다.",차비,차비/돈,"차비,돈"
다산콜센터,대중교통 안내,B2068,고객,7,버스시간,,Q,시간은 얼마나 걸립니까?,,,35분정도 걸립니다.,시간,,시간
다산콜센터,대중교통 안내,B2068,고객,9,버스시간,,Q,첫차는 언제입니까?,,,오전 5시 10분입니다.,첫차,,첫차
다산콜센터,대중교통 안내,B2068,고객,11,버스요금,,Q,차비는 얼마입니까?,,,"1,450원 입니다.",차비,차비/돈,"차비,돈"
다산콜센터,대중교통 안내,B2069,고객,7,버스시간,,Q,시간은 얼마나 걸립니까?,,,1시간 20분정도 걸립니다.,시간,,시간
다산콜센터,대중교통 안내,B2069,고객,9,버스시간,,Q,첫차는 언제입니까?,,,오전 6시 입니다.,첫차,,첫차
다산콜센터,대중교통 안내,B2069,고객,11,버스요금,,Q,차비는 얼마입니까?,,,"1,700원 입니다.",차비,차비/돈,"차비,돈"
다산콜센터,대중교통 안내,B2070,고객,7,버스시간,,Q,시간은 얼마나 걸립니까?,,,1시간 정도 걸립니다.,시간,,시간
다산콜센터,대중교통 안내,B2070,고객,9,버스시간,,Q,첫차는 언제입니까?,,,오전 6시 15분입니다.,첫차,,첫차
다산콜센터,대중교통 안내,B2070,고객,11,버스요금,,Q,차비는 얼마입니까?,,,"2,100원 입니다.",차비,차비/돈,"차비,돈"
다산콜센터,대중교통 안내,B2071,고객,7,버스시간,,Q,시간은 얼마나 걸립니까?,,,1시간 40분정도 걸립니다.,시간,,시간
다산콜센터,대중교통 안내,B2071,고객,9,버스시간,,Q,첫차는 언제입니까?,,,오전 5시 10분입니다.,첫차,,첫차
다산콜센터,대중교통 안내,B2071,고객,11,버스요금,,Q,차비는 얼마입니까?,,,"2,200원 입니다.",차비,차비/돈,"차비,돈"
다산콜센터,대중교통 안내,B2072,고객,7,버스시간,,Q,시간은 얼마나 걸립니까?,,,2시간 10분정도 걸립니다.,시간,,시간
다산콜센터,대중교통 안내,B2072,고객,9,버스시간,,Q,첫차는 언제입니까?,,,오전 5시 30분입니다.,첫차,,첫차
다산콜센터,대중교통 안내,B2072,고객,11,버스요금,,Q,차비는 얼마입니까?,,,"1,900원 입니다.",차비,차비/돈,"차비,돈"
다산콜센터,대중교통 안내,B2073,고객,7,버스시간,,Q,시간은 얼마나 걸립니까?,,,1시간 10분정도 걸립니다.,시간,,시간
다산콜센터,대중교통 안내,B2073,고객,9,버스시간,,Q,첫차는 언제입니까?,,,오전 6시 10분입니다.,첫차,,첫차
다산콜센터,대중교통 안내,B2073,고객,11,버스요금,,Q,차비는 얼마입니까?,,,"1,550원 입니다.",차비,차비/돈,"차비,돈"
다산콜센터,대중교통 안내,B2074,고객,7,버스시간,,Q,시간은 얼마나 걸립니까?,,,1시간 30분정도 걸립니다.,시간,,시간
다산콜센터,대중교통 안내,B2074,고객,9,버스시간,,Q,첫차는 언제입니까?,,,오전 6시 입니다.,첫차,,첫차
다산콜센터,대중교통 안내,B2074,고객,11,버스요금,,Q,차비는 얼마입니까?,,,"1,200원 입니다.",차비,차비/돈,"차비,돈"
다산콜센터,대중교통 안내,B2075,고객,7,버스시간,,Q,시간은 얼마나 걸립니까?,,,1시간 40분정도 걸립니다.,시간,,시간
다산콜센터,대중교통 안내,B2075,고객,9,버스시간,,Q,첫차는 언제입니까?,,,오전 5시 50분입니다.,첫차,,첫차
다산콜센터,대중교통 안내,B2075,고객,11,버스요금,,Q,차비는 얼마입니까?,,,"1,350원 입니다.",차비,차비/돈,"차비,돈"
다산콜센터,대중교통 안내,B2076,고객,7,버스시간,,Q,시간은 얼마나 걸립니까?,,,1시간 50분정도 걸립니다.,시간,,시간
다산콜센터,대중교통 안내,B2076,고객,9,버스시간,,Q,첫차는 언제입니까?,,,오전 6시 40분입니다.,첫차,,첫차
다산콜센터,대중교통 안내,B2076,고객,11,버스요금,,Q,차비는 얼마입니까?,,,"1,100원 입니다.",차비,차비/돈,"차비,돈"
다산콜센터,대중교통 안내,B2077,고객,7,버스시간,,Q,시간은 얼마나 걸립니까?,,,1시간 35분정도 걸립니다.,시간,,시간
다산콜센터,대중교통 안내,B2077,고객,9,버스시간,,Q,첫차는 언제입니까?,,,오전 6시 15분입니다.,첫차,,첫차
다산콜센터,대중교통 안내,B2077,고객,11,버스요금,,Q,차비는 얼마입니까?,,,"1,200원 입니다.",차비,차비/돈,"차비,돈"
다산콜센터,대중교통 안내,B2078,고객,7,버스시간,,Q,시간은 얼마나 걸립니까?,,,1시간 10분정도 걸립니다.,시간,,시간
다산콜센터,대중교통 안내,B2078,고객,9,버스시간,,Q,첫차는 언제입니까?,,,오전 6시 10분입니다.,첫차,,첫차
다산콜센터,대중교통 안내,B2078,고객,11,버스요금,,Q,차비는 얼마입니까?,,,"1,550원 입니다.",차비,차비/돈,"차비,돈"
다산콜센터,대중교통 안내,B2079,고객,7,버스시간,,Q,시간은 얼마나 걸립니까?,,,40분정도 걸립니다.,시간,,시간
다산콜센터,대중교통 안내,B2079,고객,9,버스시간,,Q,첫차는 언제입니까?,,,오전 5시 30분입니다.,첫차,,첫차
다산콜센터,대중교통 안내,B2079,고객,11,버스요금,,Q,차비는 얼마입니까?,,,"1,850원 입니다.",차비,차비/돈,"차비,돈"
다산콜센터,대중교통 안내,B2080,고객,7,버스시간,,Q,시간은 얼마나 걸립니까?,,,20분정도 걸립니다.,시간,,시간
다산콜센터,대중교통 안내,B2080,고객,9,버스시간,,Q,첫차는 언제입니까?,,,오전 6시 25분입니다.,첫차,,첫차
다산콜센터,대중교통 안내,B2080,고객,11,버스요금,,Q,차비는 얼마입니까?,,,"1,150원 입니다.",차비,차비/돈,"차비,돈"
다산콜센터,대중교통 안내,B2081,고객,7,버스시간,,Q,시간은 얼마나 걸립니까?,,,1시간 10분정도 걸립니다.,시간,,시간
다산콜센터,대중교통 안내,B2081,고객,9,버스시간,,Q,첫차는 언제입니까?,,,오전 6시 10분입니다.,첫차,,첫차
다산콜센터,대중교통 안내,B2081,고객,11,버스요금,,Q,차비는 얼마입니까?,,,"1,550원 입니다.",차비,차비/돈,"차비,돈"
다산콜센터,대중교통 안내,B2082,고객,7,버스시간,,Q,시간은 얼마나 걸립니까?,,,1시간 30분정도 걸립니다.,시간,,시간
다산콜센터,대중교통 안내,B2082,고객,9,버스시간,,Q,첫차는 언제입니까?,,,오전 7시 10분입니다.,첫차,,첫차
다산콜센터,대중교통 안내,B2082,고객,11,버스요금,,Q,차비는 얼마입니까?,,,"1,300원 입니다.",차비,차비/돈,"차비,돈"
다산콜센터,대중교통 안내,B2083,고객,7,버스시간,,Q,시간은 얼마나 걸립니까?,,,1시간 정도 걸립니다.,시간,,시간
다산콜센터,대중교통 안내,B2083,고객,9,버스시간,,Q,첫차는 언제입니까?,,,오전 7시 입니다.,첫차,,첫차
다산콜센터,대중교통 안내,B2083,고객,11,버스요금,,Q,차비는 얼마입니까?,,,"1,350원 입니다.",차비,차비/돈,"차비,돈"
다산콜센터,대중교통 안내,B2084,고객,5,버스정류장,,Q,어느정류장에서 타야되요?,,,문성초등학교 정류장에서 타면되요.,정류장,,정류장
다산콜센터,대중교통 안내,B2084,고객,7,버스요금,,Q,버스요금은 얼마에요?,,,1200원요.,"버스, 요금",버스/교통수단/ 요금/돈,"요금,돈"
다산콜센터,대중교통 안내,B2085,고객,1,버스노선,,Q,서울역에서 서울대학교가는 버스노선을 알고싶어요.,,,"서울역에서 서울대학교로 가는 버스노선은 750A, 750B 버스에요.","서울, 역, 서울대학교, 버스, 노선",서울/지명/ 역/역사/ 서울대학교/지명/ 버스/교통수단,"역,교통수단"
다산콜센터,대중교통 안내,B2085,고객,3,버스시간,,Q,시간은 얼마정도 걸리나요?,,,약 1시간 10분정도 걸려요.,시간,,시간
다산콜센터,대중교통 안내,B2085,고객,5,버스정류장,,Q,어느정류장에서 타야되요?,,,서울역버스환승센터 정류장에서 타시면되요.,정류장,,정류장
다산콜센터,대중교통 안내,B2085,고객,7,버스요금,,Q,버스 요금은 얼마에요?,,,교통카드로 1200원 이에요.,"버스, 요금",버스/교통수단/ 요금/돈,"요금,돈"
다산콜센터,대중교통 안내,B2086,고객,7,버스노선,,Q,지하철로 환승하는 길은 없어요?,,,"지하철로 환승하려면 7-1, 301, 5, 310 버스를 타고 수원역 정류장에서 1호선으로 갈아타시면 되요.",지하철,지하철/교통수단,"지하철,교통수단"
다산콜센터,대중교통 안내,B2087,고객,7,버스시간,,Q,시간은 얼마나 걸려요?,,,1시간 15분정도 걸려요.,시간,,시간
다산콜센터,대중교통 안내,B2087,고객,9,버스시간,,Q,막차 시간은 언제에요?,,,오후 8시요.,"막차, 시간",,시간
다산콜센터,대중교통 안내,B2088,고객,5,버스요금,,Q,요금은 얼마에요?,,,"2,800원요.",요금,요금/돈,"요금,돈"
다산콜센터,대중교통 안내,B2089,고객,7,버스노선,,Q,얼마나 걸려요?,,,1시간 30분 정도 걸려요.,,,
다산콜센터,대중교통 안내,B2089,고객,9,버스노선,,Q,더 빨리가는 길은 없나요?,,,지하철을 이용하면 더 빨리갈수 있어요.,,,
다산콜센터,대중교통 안내,B2089,고객,11,지하철노선,,Q,지하철은 어떻게 가요?,,,2호선을 타고 사당역으로 가서 4호선으로 환승하시면 되요.,지하철,지하철/교통수단,"지하철,교통수단"
다산콜센터,대중교통 안내,B2089,고객,13,지하철노선,,Q,지하철은 얼마나 걸려요?,,,45분정도 걸려요.,지하철,지하철/교통수단,"지하철,교통수단"
다산콜센터,대중교통 안내,B2090,고객,1,버스노선,,Q,중앙대학교에서 대법원으로 가는 버스를 알고싶어요.,,,350번 버스를 타면 갈수있어요.,"중앙대학교, 대법원, 버스",중앙대학교/공공기관/ 대법원/공공기관/ 버스/교통수단,"대법원,교통수단"
다산콜센터,대중교통 안내,B2090,고객,3,버스시간,,Q,법원까지 얼마나 걸려요?,,,1시간 정도 걸려요.,법원,법원/공공기관,"법원,공공기관"
다산콜센터,대중교통 안내,B2090,고객,5,버스요금,,Q,비용은 얼마에요?,,,1300원에요.,비용,비용/돈,"비용,돈"
다산콜센터,대중교통 안내,B2091,고객,1,버스노선,,Q,독산동에서 인사동으로 가는 버스를 알고싶어요.,,,650번 버스를 타면 갈수있어요.,"독산동, 인사동, 버스",독산동/동네/ 인사동/동네/ 버스./교통수단,"인사동,교통수단"
다산콜센터,대중교통 안내,B2091,고객,3,버스시간,,Q,인사동까지 얼마나 걸러요?,,,1시간반 정도 걸려요.,인사동,인사동/동네,"인사동,동네"
다산콜센터,대중교통 안내,B2091,고객,5,버스요금,,Q,가는데 비용은 얼마에요?,,,1400원에요.,비용,비용/돈,"비용,돈"
다산콜센터,대중교통 안내,B2092,고객,1,버스노선,,Q,대치동에서 내곡동으로 가는 버스를 알고싶어요,,,11번 버스를 타면 갈수있어요.,"대치동, 내곡동, 버스",대치동/동네/ 내곡동/동네/ 버스/교통수단,"내곡동,교통수단"
다산콜센터,대중교통 안내,B2092,고객,3,버스시간,,Q,내곡동까지 얼마나 걸려요?,,,30분 정도 걸려요.,내곡동,내곡동/동네,"내곡동,동네"
다산콜센터,대중교통 안내,B2092,고객,5,버스요금,,Q,가는데 버스비는 얼마에요?,,,1350원에요.,버스비,버스비/돈,"버스비,돈"
다산콜센터,대중교통 안내,B2093,고객,5,버스요금,,Q,버스요금은 얼마에요?,,,1600원요.,버스요금,버스요금/돈,"버스요금,돈"
다산콜센터,대중교통 안내,B2093,고객,7,버스시간,,Q,청계천까지 얼마나 걸려요?,,,50분요.,청계천,청계천/지명,"청계천,지명"
다산콜센터,대중교통 안내,B2094,고객,7,버스시간,,Q,시간은 얼마나 걸려요?,,,2시간정도 걸려요.,,,
다산콜센터,대중교통 안내,B2094,고객,9,버스시간,,Q,막차는 언제에요?,,,오후 11시에요.,막차,,막차
다산콜센터,대중교통 안내,B2095,고객,7,버스시간,,Q,시간은 얼마나 걸려요?,,,1시간 20분정도 걸려요.,시간,,시간
다산콜센터,대중교통 안내,B2095,고객,9,버스시간,,Q,첫차 시간은 언제에요?,,,오전 6시에요.,첫차,,첫차
다산콜센터,대중교통 안내,B2096,고객,7,버스시간,,Q,시간은 얼마나 걸려요?,,,2시간10분정도 걸려요.,시간,,시간
다산콜센터,대중교통 안내,B2096,고객,9,버스시간,,Q,첫차는 언제에요?,,,오전 5시반이에요.,첫차,,첫차
다산콜센터,대중교통 안내,B2097,고객,7,버스시간,,Q,시간은 얼마나 걸려요?,,,1시간15분정도 걸려요.,시간,,시간
다산콜센터,대중교통 안내,B2097,고객,9,버스시간,,Q,막차는 언제에요?,,,오후 11시반이에요.,막차,,막차
